frame,face_detected,y_raw,y_smooth
0,1,3,3
1,1,3,3
2,1,3,3
3,1,0,0
4,1,0,0
5,1,0,0
6,1,3,0
7,1,3,3
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,1,0,0
48,1,0,0
49,1,0,0
50,1,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,1,0,0
56,1,0,0
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,0
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,1,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,1,0,0
73,1,0,0
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,1,0,0
82,1,7,0
83,1,7,0
84,1,7,7
85,1,7,7
86,1,7,7
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,1,1,1
110,1,1,1
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,1,1,1
116,1,1,1
117,1,1,1
118,1,1,1
119,1,0,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,1,0,1
143,1,1,1
144,1,1,1
145,1,0,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,1,0,1
152,1,1,1
153,1,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,1,1
158,1,0,1
159,1,1,1
160,1,1,1
161,1,1,1
162,1,1,1
163,1,0,1
164,1,0,1
165,1,0,1
166,1,0,1
167,1,1,1
168,1,1,1
169,1,1,1
170,1,1,1
171,1,1,1
172,1,1,1
173,1,0,1
174,1,1,1
175,1,1,1
176,1,1,1
177,1,1,1
178,1,0,1
179,1,1,1
180,1,1,1
181,1,1,1
182,1,1,1
183,1,1,1
184,1,1,1
185,1,1,1
186,1,1,1
187,1,1,1
188,1,1,1
189,1,1,1
190,1,1,1
191,1,1,1
192,1,1,1
193,1,1,1
194,1,1,1
195,1,1,1
196,1,1,1
197,1,1,1
