frame,face_detected,y_raw,y_smooth
0,0,-1,-1
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,2,2
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,2,2
29,1,0,0
30,1,2,2
31,1,2,2
32,1,2,2
33,1,2,2
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,7,7
41,1,6,6
42,1,6,6
43,0,-1,-1
44,0,-1,-1
45,1,6,6
46,0,-1,-1
47,1,6,6
48,0,-1,-1
49,0,-1,-1
50,0,-1,-1
51,1,6,6
52,0,-1,-1
53,0,-1,-1
54,0,-1,-1
55,0,-1,-1
56,0,-1,-1
57,0,-1,-1
58,0,-1,-1
59,0,-1,-1
60,0,-1,-1
61,1,6,6
62,1,6,6
63,0,-1,-1
64,0,-1,-1
65,0,-1,-1
66,1,6,6
67,0,-1,-1
68,1,6,6
69,0,-1,-1
70,0,-1,-1
71,0,-1,-1
72,0,-1,-1
73,0,-1,-1
74,1,6,6
75,0,-1,-1
76,0,-1,-1
77,0,-1,-1
78,0,-1,-1
79,0,-1,-1
80,1,6,6
81,1,6,6
82,0,-1,-1
83,1,2,2
84,1,0,0
85,1,0,0
86,1,0,0
87,1,0,0
88,1,0,0
89,1,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,0,-1,-1
96,0,-1,-1
97,1,7,7
98,1,6,6
99,1,6,6
100,1,6,6
101,1,6,6
102,0,-1,-1
103,1,6,6
104,1,6,6
105,0,-1,-1
106,0,-1,-1
107,0,-1,-1
108,0,-1,-1
109,1,6,6
110,0,-1,-1
111,0,-1,-1
112,0,-1,-1
113,0,-1,-1
114,1,6,6
115,1,6,6
116,1,0,0
117,1,6,6
118,1,6,6
119,0,-1,-1
120,1,0,0
121,1,6,6
122,1,6,6
123,0,-1,-1
124,1,1,1
125,0,-1,-1
126,0,-1,-1
127,1,6,6
128,1,6,6
129,1,6,6
130,1,6,6
131,1,6,6
132,1,0,0
133,1,0,0
134,1,0,0
135,1,0,0
136,1,0,0
137,1,0,0
138,1,0,0
139,1,0,0
140,1,0,0
141,1,0,0
142,1,0,0
143,1,0,0
144,1,0,0
145,0,-1,-1
146,1,0,0
147,0,-1,-1
148,1,6,6
149,0,-1,-1
150,1,6,6
151,0,-1,-1
152,0,-1,-1
153,0,-1,-1
154,0,-1,-1
155,0,-1,-1
156,0,-1,-1
157,0,-1,-1
158,0,-1,-1
159,0,-1,-1
160,0,-1,-1
161,0,-1,-1
162,0,-1,-1
163,1,6,6
164,1,6,6
165,1,2,2
166,0,-1,-1
167,0,-1,-1
168,0,-1,-1
169,1,6,6
170,0,-1,-1
171,1,6,6
172,0,-1,-1
173,1,7,7
174,1,7,7
175,0,-1,-1
176,1,6,6
177,0,-1,-1
178,0,-1,-1
179,1,6,6
180,1,6,6
181,1,6,6
182,1,6,6
183,1,6,6
184,1,6,6
185,0,-1,-1
186,0,-1,-1
187,1,6,6
188,1,0,0
189,1,0,0
190,1,0,0
191,1,0,0
192,1,0,0
193,1,0,0
194,1,0,0
195,1,0,0
196,1,0,0
197,1,0,0
198,1,0,0
199,1,0,0
200,1,0,0
201,1,0,0
202,1,0,0
203,1,0,0
204,1,0,0
205,1,0,0
206,1,0,0
207,1,0,0
208,0,-1,-1
209,0,-1,-1
210,0,-1,-1
211,0,-1,-1
212,1,6,6
213,1,6,6
214,1,6,6
215,1,6,6
216,1,6,6
217,0,-1,-1
218,1,7,7
219,1,7,7
220,1,6,6
221,1,7,7
222,1,6,6
223,1,6,6
224,1,5,5
225,1,6,6
226,0,-1,-1
227,1,1,1
228,1,5,5
229,1,6,6
230,0,-1,-1
231,1,5,5
232,1,2,2
233,1,5,5
234,1,0,0
235,1,2,2
236,1,2,2
237,1,5,5
238,1,6,6
239,1,6,6
240,1,6,6
241,1,6,6
242,1,6,6
243,1,7,7
244,1,7,7
245,0,-1,-1
246,0,-1,-1
247,1,2,2
248,1,0,0
249,1,0,0
250,1,0,0
251,1,0,0
252,1,0,0
253,1,0,0
254,1,0,0
255,1,0,0
256,1,0,0
257,1,0,0
258,0,-1,-1
259,0,-1,-1
260,0,-1,-1
261,1,6,6
262,1,6,6
263,0,-1,-1
264,1,6,6
265,0,-1,-1
266,0,-1,-1
267,0,-1,-1
268,1,6,6
269,1,6,6
270,0,-1,-1
271,0,-1,-1
272,0,-1,-1
273,0,-1,-1
274,0,-1,-1
275,0,-1,-1
276,1,6,6
277,0,-1,-1
278,1,6,6
279,1,6,6
280,1,6,6
281,1,6,6
282,0,-1,-1
283,0,-1,-1
284,0,-1,-1
285,0,-1,-1
286,0,-1,-1
287,0,-1,-1
288,0,-1,-1
289,0,-1,-1
290,1,6,6
291,0,-1,-1
292,0,-1,-1
293,0,-1,-1
294,0,-1,-1
295,0,-1,-1
296,0,-1,-1
297,0,-1,-1
298,0,-1,-1
299,0,-1,-1
300,0,-1,-1
301,0,-1,-1
302,0,-1,-1
303,0,-1,-1
304,0,-1,-1
305,0,-1,-1
306,1,6,6
307,1,6,6
308,0,-1,-1
309,0,-1,-1
310,0,-1,-1
311,1,6,6
312,0,-1,-1
313,0,-1,-1
314,1,2,2
315,1,0,0
316,1,7,7
317,1,0,0
318,1,0,0
319,1,0,0
320,1,0,0
321,1,0,0
322,1,0,0
323,1,0,0
324,1,0,0
325,1,0,0
326,1,0,0
327,1,0,0
328,1,0,0
329,1,0,0
330,1,0,0
331,1,0,0
332,1,0,0
333,1,0,0
334,1,6,6
335,0,-1,-1
336,1,0,0
337,1,2,2
338,1,6,6
339,0,-1,-1
340,0,-1,-1
341,1,6,6
342,1,0,0
343,0,-1,-1
344,0,-1,-1
345,0,-1,-1
346,1,6,6
347,0,-1,-1
348,1,6,6
349,0,-1,-1
350,0,-1,-1
351,0,-1,-1
352,0,-1,-1
353,0,-1,-1
354,0,-1,-1
355,0,-1,-1
356,0,-1,-1
357,0,-1,-1
358,0,-1,-1
359,1,6,6
360,0,-1,-1
361,0,-1,-1
362,1,6,6
363,1,6,6
364,0,-1,-1
365,0,-1,-1
366,1,0,0
367,1,0,0
368,0,-1,-1
369,1,0,0
370,1,0,0
371,1,0,0
372,1,0,0
373,1,6,6
374,0,-1,-1
375,1,6,6
376,1,6,6
377,1,6,6
