frame,face_detected,y_raw,y_smooth
0,0,-1,-1
1,1,0,0
2,1,2,2
3,1,7,2
4,1,2,2
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,7,7
18,1,7,7
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,2,2
24,1,0,0
25,1,2,2
26,1,2,2
27,1,2,2
28,1,0,0
29,1,0,0
30,1,5,0
31,1,5,5
32,1,0,0
33,1,2,0
34,1,0,0
35,1,0,0
36,1,2,2
37,1,2,2
38,1,2,2
39,1,0,2
40,1,2,2
41,1,0,0
42,1,2,2
43,1,7,0
44,1,0,0
45,1,2,2
46,1,2,2
47,1,0,0
48,1,2,2
49,1,2,2
50,1,2,2
51,1,2,2
52,1,2,2
53,1,2,2
54,1,0,2
55,1,0,2
56,1,2,2
57,1,2,2
58,1,2,2
59,1,0,0
60,1,2,2
61,1,7,0
62,1,2,2
63,1,2,2
64,1,0,0
65,1,0,0
66,1,2,2
67,1,2,2
68,1,2,2
69,1,2,2
70,1,2,2
71,1,2,2
72,1,2,2
73,1,2,2
74,1,2,2
75,1,0,2
76,1,0,0
77,1,2,2
78,1,2,2
79,1,0,0
80,1,7,7
81,1,7,7
82,1,0,7
83,1,7,7
84,1,2,2
85,1,2,2
86,1,2,2
87,1,2,2
88,1,2,2
89,1,6,2
90,1,0,2
91,1,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,1,0,0
97,1,0,0
