frame,face_detected,y_raw,y_smooth
0,0,-1,-1
1,1,1,1
2,1,3,1
3,1,3,3
4,1,3,3
5,1,4,3
6,1,2,3
7,1,4,3
8,1,2,3
9,1,4,4
10,1,2,4
11,1,4,4
12,1,0,2
13,1,3,4
14,1,4,2
15,1,3,3
16,1,3,3
17,1,0,3
18,1,2,3
19,1,3,3
20,1,3,3
21,1,0,3
22,1,0,3
23,1,4,3
24,1,0,0
25,1,4,0
26,1,0,0
27,1,0,0
28,1,4,0
29,1,4,0
30,1,0,0
31,1,2,0
32,1,3,0
33,1,3,2
34,1,2,2
35,1,2,2
36,1,3,2
37,1,3,2
38,1,0,2
39,1,0,2
40,1,4,2
41,1,4,0
42,1,4,0
43,1,0,0
44,1,4,4
45,1,2,4
46,1,4,4
47,1,4,4
48,1,2,4
49,1,2,4
50,1,2,4
51,1,2,2
52,1,2,2
53,1,0,2
54,1,4,2
55,1,2,2
56,1,2,2
57,1,2,2
58,1,3,2
59,1,2,2
60,0,-1,-1
61,1,2,2
62,0,-1,-1
63,1,2,2
64,1,7,2
65,1,1,2
66,1,1,2
67,1,1,2
68,1,1,1
69,0,-1,-1
70,1,4,1
71,0,-1,-1
72,0,-1,-1
73,1,1,1
74,0,-1,-1
75,0,-1,-1
76,1,1,1
77,1,7,1
78,1,1,1
79,1,1,1
80,0,-1,-1
81,1,2,1
82,1,2,1
83,1,4,1
84,1,4,1
85,0,-1,-1
86,1,4,1
87,0,-1,-1
88,1,2,4
89,0,-1,-1
90,1,1,4
91,0,-1,-1
92,0,-1,-1
93,1,0,4
94,1,0,4
95,1,1,4
96,0,-1,-1
97,0,-1,-1
98,1,2,4
99,1,2,1
100,1,2,2
101,1,2,2
102,1,2,2
103,0,-1,-1
104,1,1,2
105,1,1,2
106,1,1,2
107,1,1,2
108,0,-1,-1
109,1,1,1
110,0,-1,-1
111,0,-1,-1
112,1,1,1
113,1,1,1
114,0,-1,-1
115,1,4,1
116,1,4,1
117,1,2,1
118,1,4,1
119,1,4,4
120,0,-1,-1
121,0,-1,-1
122,0,-1,-1
123,0,-1,-1
124,1,4,4
125,1,4,4
126,0,-1,-1
127,1,0,4
128,1,1,4
129,1,1,4
130,1,1,4
131,1,2,4
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,3,1
137,1,2,1
138,1,2,1
139,1,1,1
140,1,2,2
141,1,1,2
142,1,2,2
143,1,1,2
144,1,1,2
145,1,3,2
146,1,2,2
147,1,1,1
148,1,2,1
149,1,1,1
150,1,2,1
151,1,2,1
152,1,2,2
153,1,1,2
154,1,1,2
155,0,-1,-1
156,1,1,2
157,1,2,2
158,1,1,1
159,1,1,1
160,1,4,1
161,1,1,1
162,1,1,1
163,1,1,1
164,1,1,1
165,1,1,1
166,1,2,1
167,1,1,1
168,1,2,1
169,1,1,1
170,1,1,1
171,1,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,1,3,1
176,1,3,1
177,1,1,1
178,1,2,1
179,1,1,1
180,1,1,1
181,1,2,1
182,1,2,1
183,1,1,1
184,1,2,1
185,1,0,1
186,1,2,1
187,1,2,2
188,1,1,2
189,1,3,2
190,1,2,2
191,1,2,2
192,1,1,2
193,1,3,2
194,1,3,2
195,1,0,2
196,1,3,3
197,1,3,3
198,1,3,3
199,1,4,3
200,1,3,3
201,1,2,3
202,1,3,3
203,1,3,3
204,1,3,3
205,1,3,3
206,1,3,3
207,1,3,3
208,1,3,3
209,1,3,3
210,1,3,3
211,1,3,3
212,1,3,3
213,1,3,3
214,1,3,3
215,1,3,3
216,1,3,3
217,1,3,3
218,0,-1,-1
219,1,3,3
220,1,3,3
221,0,-1,-1
222,1,3,3
223,1,3,3
224,0,-1,-1
225,1,3,3
226,0,-1,-1
227,0,-1,-1
228,1,4,3
229,0,-1,-1
230,1,4,3
231,0,-1,-1
232,0,-1,-1
233,0,-1,-1
234,0,-1,-1
235,0,-1,-1
236,0,-1,-1
237,0,-1,-1
238,1,4,3
239,1,3,4
240,1,3,4
241,1,3,4
242,1,3,4
243,1,3,3
244,1,3,3
245,1,3,3
246,1,3,3
247,1,3,3
248,1,3,3
249,1,3,3
250,1,3,3
251,1,1,3
252,1,3,3
253,1,3,3
254,1,3,3
255,1,3,3
256,1,3,3
257,1,1,3
258,1,3,3
259,1,3,3
260,1,3,3
261,1,3,3
262,1,3,3
263,1,3,3
264,1,1,3
265,1,3,3
266,1,3,3
267,1,3,3
268,1,3,3
269,1,3,3
270,1,3,3
271,1,3,3
272,1,1,3
273,1,1,3
274,1,1,3
275,1,3,3
276,1,3,3
277,1,1,3
278,1,1,3
279,1,3,3
280,1,2,3
281,1,1,3
282,1,1,3
283,1,1,1
284,1,0,1
285,1,1,1
286,1,1,1
287,1,3,1
288,1,2,1
289,1,1,1
290,1,3,1
291,1,0,1
292,1,1,1
293,1,3,3
294,1,2,3
295,1,2,3
296,1,1,3
297,1,2,2
298,1,2,2
