frame,face_detected,y_raw,y_smooth
0,0,-1,-1
1,1,3,3
2,1,0,3
3,1,3,3
4,1,2,3
5,1,4,3
6,1,2,3
7,1,2,2
8,1,3,2
9,1,2,2
10,1,4,2
11,1,3,2
12,1,4,2
13,1,4,4
14,1,4,4
15,1,0,4
16,1,3,4
17,1,2,4
18,1,4,4
19,1,0,4
20,1,2,4
21,1,3,0
22,1,3,3
23,1,2,2
24,1,2,2
25,1,0,2
26,1,2,2
27,1,2,2
28,1,2,2
29,1,2,2
30,1,2,2
31,1,2,2
32,1,2,2
33,1,2,2
34,1,2,2
35,1,2,2
36,1,2,2
37,1,2,2
38,1,2,2
39,1,2,2
40,1,1,2
41,1,2,2
42,1,2,2
43,1,2,2
44,1,2,2
45,1,2,2
46,1,2,2
47,1,2,2
48,1,2,2
49,1,2,2
50,1,2,2
51,1,2,2
52,1,2,2
53,1,2,2
54,1,2,2
55,1,2,2
56,1,2,2
57,1,2,2
58,1,2,2
59,1,0,2
60,1,2,2
61,1,2,2
62,1,2,2
63,1,1,2
64,1,2,2
65,1,2,2
66,1,2,2
67,1,2,2
68,1,0,2
69,1,2,2
70,1,0,2
71,1,2,2
72,1,3,2
73,1,2,2
74,1,2,2
75,1,1,2
76,1,1,2
77,1,1,2
78,1,3,1
79,1,2,2
80,1,0,1
81,1,2,1
82,1,0,1
83,1,0,0
84,1,0,0
85,1,0,0
86,1,0,0
87,1,0,0
88,1,2,0
89,1,2,0
90,1,3,0
91,1,3,0
92,1,1,0
93,1,3,3
94,1,2,2
95,1,0,3
96,1,0,3
97,1,0,0
98,1,3,0
99,1,2,0
100,1,2,2
101,1,2,0
102,1,2,2
103,1,2,2
104,1,2,2
105,1,2,2
106,1,2,2
107,1,2,2
108,1,2,2
109,1,0,2
110,1,4,2
111,1,2,2
112,1,0,2
113,1,0,2
114,1,2,2
115,1,2,0
116,1,2,2
117,1,2,2
118,1,2,2
119,1,2,2
120,1,2,2
121,0,-1,-1
122,1,2,2
123,1,4,2
124,1,2,2
125,0,-1,-1
126,0,-1,-1
127,1,0,2
128,1,2,2
129,1,2,2
130,1,2,2
131,1,2,2
132,1,2,2
133,1,2,2
134,1,4,2
135,1,2,2
136,1,2,2
137,1,4,2
138,1,2,2
139,1,2,2
140,1,2,2
141,1,2,2
142,1,2,2
143,1,2,2
144,1,2,2
145,1,4,2
146,1,7,2
147,1,2,2
148,0,-1,-1
149,1,1,2
150,1,1,2
151,1,2,2
152,1,2,2
153,1,2,2
154,1,2,2
155,1,2,2
156,1,0,2
157,1,2,2
158,0,-1,-1
159,1,1,2
160,1,2,2
161,1,0,2
162,1,2,2
163,1,2,2
164,1,1,2
165,1,2,2
166,1,1,2
167,1,0,2
168,1,0,2
169,1,2,2
170,1,2,2
171,1,2,2
172,1,2,2
173,1,2,2
174,1,2,2
175,1,2,2
176,1,2,2
177,1,2,2
178,1,2,2
179,0,-1,-1
180,1,4,2
181,1,4,2
182,1,2,2
183,1,2,2
184,1,2,2
185,1,2,2
186,1,0,2
187,1,2,2
188,1,2,2
189,1,2,2
190,1,2,2
191,1,2,2
192,1,2,2
193,1,2,2
194,1,2,2
195,1,4,2
196,1,4,2
197,1,2,2
198,0,-1,-1
199,1,2,2
200,0,-1,-1
201,1,2,2
202,1,2,2
203,1,0,2
204,1,0,2
205,1,2,2
206,1,2,2
207,1,0,2
208,1,2,2
209,1,2,2
210,1,0,2
211,1,2,2
212,1,0,2
213,1,0,0
214,1,2,2
215,1,1,2
216,1,2,0
217,1,2,2
218,1,2,2
219,1,2,2
220,1,2,2
221,1,2,2
222,1,2,2
223,1,0,2
224,1,0,2
225,1,0,2
226,1,3,2
227,1,2,2
228,1,0,0
229,1,1,0
230,1,2,0
231,1,2,2
232,1,2,2
233,1,0,2
234,1,0,0
235,1,0,2
236,1,2,2
237,1,2,2
238,1,3,2
239,1,0,0
240,1,0,0
241,1,0,0
242,1,1,0
243,1,0,0
244,1,0,0
245,1,2,0
246,1,0,0
247,1,2,0
248,1,4,0
249,1,0,0
250,1,3,0
251,1,4,2
252,1,2,0
253,1,2,2
254,1,1,4
255,1,0,0
256,1,3,3
257,1,1,2
258,1,0,2
259,1,0,0
260,1,3,0
261,1,2,0
262,1,4,3
263,1,3,0
264,1,4,0
265,1,3,3
266,1,4,3
267,1,4,4
268,1,0,4
269,1,3,3
270,1,4,4
271,1,4,4
272,1,3,4
273,1,4,4
274,0,-1,-1
275,1,1,4
276,0,-1,-1
277,1,2,4
278,1,2,4
279,1,2,2
280,1,2,2
281,1,4,2
282,1,4,2
283,1,2,2
284,1,2,2
285,1,4,2
286,1,2,2
287,1,2,2
288,1,2,2
289,1,2,2
290,1,2,2
291,1,2,2
292,1,2,2
293,1,2,2
294,1,2,2
295,1,2,2
296,1,2,2
297,1,2,2
298,1,2,2
