frame,face_detected,y_raw,y_smooth
0,0,-1,-1
1,1,7,7
2,1,2,7
3,1,7,7
4,1,7,7
5,1,7,7
6,1,7,7
7,1,7,7
8,1,7,7
9,1,7,7
10,1,7,7
11,1,7,7
12,1,7,7
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,3,0
30,1,3,0
31,1,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,2,0
40,1,2,2
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,7,0
46,1,0,0
47,1,0,0
48,1,0,0
49,1,0,0
50,1,2,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,1,0,0
56,1,0,0
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,0
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,1,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,1,2,0
73,1,2,0
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,1,0,0
82,1,0,0
83,1,0,0
84,1,0,0
85,1,2,0
86,1,2,2
87,1,0,0
88,1,0,0
89,1,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,0,0
94,1,2,0
95,1,2,2
96,1,0,0
97,1,3,0
98,1,0,0
99,1,0,0
100,1,0,0
101,1,0,0
102,1,0,0
103,1,0,0
104,1,0,0
105,1,0,0
106,1,0,0
107,1,0,0
108,1,0,0
109,1,0,0
110,1,0,0
111,1,0,0
112,1,0,0
113,1,0,0
114,1,0,0
115,1,0,0
116,1,0,0
117,1,0,0
118,1,0,0
119,1,0,0
120,1,0,0
121,1,0,0
122,1,0,0
123,1,0,0
124,1,0,0
125,1,0,0
126,1,0,0
127,1,0,0
128,1,0,0
129,1,0,0
130,1,0,0
131,1,0,0
132,1,0,0
133,1,0,0
134,1,0,0
135,1,0,0
136,1,0,0
137,1,0,0
138,1,0,0
139,1,0,0
140,1,0,0
141,1,0,0
142,1,0,0
143,1,2,2
144,1,2,2
145,1,2,2
146,1,0,0
147,1,0,0
148,1,0,0
149,1,0,0
150,1,0,0
151,1,0,0
152,1,2,2
153,1,2,2
154,1,2,2
155,1,2,2
156,1,2,2
157,1,2,2
158,1,2,2
159,1,2,2
160,1,2,2
161,1,2,2
162,1,2,2
163,1,2,2
164,1,2,2
165,1,2,2
166,1,2,2
167,1,2,2
168,1,2,2
169,1,2,2
170,1,2,2
171,1,2,2
172,1,0,0
173,1,0,0
174,1,0,0
175,1,0,0
176,1,7,0
177,1,2,2
178,1,0,0
179,1,0,0
180,1,0,0
181,1,0,0
182,1,0,0
183,1,0,0
184,1,0,0
185,1,0,0
186,1,0,0
187,1,0,0
188,1,0,0
189,1,0,0
190,1,0,0
191,1,0,0
192,1,0,0
193,1,0,0
194,1,0,0
195,1,0,0
196,1,0,0
197,1,0,0
198,1,0,0
199,1,0,0
200,1,0,0
201,1,0,0
202,1,0,0
203,1,2,0
204,1,0,0
205,1,7,0
206,1,7,0
207,1,2,2
208,1,7,7
209,1,7,7
210,1,0,0
211,1,0,0
212,1,0,0
213,1,0,0
214,1,0,0
215,1,0,0
216,1,0,0
217,1,0,0
218,1,0,0
219,1,0,0
220,1,0,0
221,1,0,0
222,1,0,0
223,1,0,0
224,1,0,0
225,1,0,0
226,1,0,0
227,1,0,0
228,1,0,0
229,1,2,0
230,1,2,2
231,1,2,2
232,1,0,0
233,1,0,0
234,1,0,0
235,1,0,0
236,1,0,0
237,1,0,0
238,1,0,0
239,1,0,0
240,1,0,0
241,1,0,0
242,1,0,0
243,1,0,0
244,1,0,0
245,1,0,0
246,1,0,0
247,1,0,0
248,1,0,0
249,1,0,0
250,1,0,0
251,1,0,0
252,1,0,0
253,1,2,0
254,1,2,0
255,1,0,0
256,1,2,2
257,1,2,2
258,1,2,2
259,1,2,2
260,1,2,2
261,1,0,2
262,1,2,2
263,1,2,2
264,1,2,2
265,1,2,2
266,1,3,0
267,1,3,3
268,1,3,3
269,1,3,3
270,1,3,3
271,1,3,3
272,1,3,3
273,1,0,0
274,1,0,0
275,1,0,0
276,1,0,0
277,1,0,0
278,1,0,0
279,1,0,0
280,1,0,0
281,1,0,0
282,1,2,2
283,1,2,2
284,1,2,2
285,1,0,0
286,1,0,0
287,1,0,0
288,1,0,0
289,1,0,0
290,1,0,0
291,1,0,0
292,1,2,0
293,1,0,0
294,1,6,2
295,1,6,6
296,1,6,6
297,1,6,6
298,1,6,6
299,1,6,6
300,1,6,6
301,1,6,6
302,1,6,6
303,1,6,6
304,1,6,6
305,1,2,6
306,1,6,6
307,1,6,6
308,1,6,6
309,1,6,6
310,1,6,6
311,1,6,6
312,1,6,6
313,1,6,6
314,1,6,6
315,1,6,6
316,1,6,6
317,1,6,6
318,1,2,2
319,1,2,2
320,1,2,2
321,1,0,0
322,1,0,0
323,1,0,0
324,1,2,0
325,1,2,2
326,1,0,0
327,1,2,2
328,1,0,0
329,1,0,0
330,1,0,0
331,1,0,0
