frame,face_detected,y_raw,y_smooth
0,0,-1,-1
1,1,7,7
2,1,0,7
3,1,7,7
4,1,0,7
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,7,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,7,0
17,1,7,0
18,1,7,0
19,1,7,7
20,1,7,7
21,1,7,7
22,1,0,7
23,1,7,7
24,1,7,7
25,1,7,7
26,1,0,7
27,1,7,7
28,1,0,7
29,1,7,7
30,1,0,7
31,1,0,7
32,1,7,7
33,1,7,7
34,1,7,7
35,1,0,7
36,1,7,7
37,1,0,7
38,1,7,7
39,1,0,7
40,1,7,7
41,1,0,0
42,1,0,0
43,1,7,0
44,1,0,0
45,1,2,0
46,1,0,0
47,1,7,0
48,1,0,0
49,1,0,0
50,1,0,0
51,1,0,0
52,1,7,0
53,1,7,0
54,1,7,0
55,1,7,7
56,1,0,7
57,1,0,7
58,1,0,7
59,1,0,0
60,1,0,0
61,1,0,0
62,1,7,0
63,1,1,0
64,1,1,0
65,1,1,0
66,1,7,1
67,1,1,1
68,1,1,1
69,1,1,1
70,1,0,1
71,1,0,1
72,1,7,1
73,1,7,1
74,1,0,1
75,1,7,7
76,1,7,7
77,1,7,7
78,1,7,7
79,1,3,7
80,1,3,7
81,1,3,7
82,1,0,7
83,1,3,3
84,1,7,3
