frame,face_detected,y_raw,y_smooth
0,0,-1,-1
1,1,0,0
2,1,7,7
3,1,7,7
4,1,0,0
5,1,2,2
6,1,0,0
7,1,2,2
8,1,0,0
9,1,2,2
10,1,0,0
11,1,0,0
12,1,0,0
13,1,2,2
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,2,2
19,1,0,0
20,1,0,0
21,1,2,2
22,1,7,7
23,1,0,0
24,1,0,0
25,1,2,2
26,1,2,2
27,1,0,0
28,1,0,0
29,1,0,0
30,1,7,7
31,1,0,0
32,1,2,2
33,1,2,2
34,1,0,0
35,1,2,2
36,1,2,2
37,1,2,2
38,1,2,2
39,1,2,2
40,1,2,2
41,1,2,2
42,1,2,2
43,1,2,2
44,1,2,2
45,1,2,2
46,1,2,2
47,1,2,2
48,1,2,2
49,1,2,2
50,1,2,2
51,1,0,0
52,1,2,2
53,1,7,7
54,1,2,2
55,1,7,7
56,1,2,2
57,1,0,0
58,1,2,2
59,1,0,0
60,1,7,7
61,1,2,2
62,1,2,2
63,1,0,0
64,1,0,0
65,1,2,2
66,1,2,2
67,1,7,7
68,1,2,2
69,1,0,0
70,1,2,2
71,1,2,2
72,1,2,2
73,1,2,2
74,1,0,0
75,1,2,2
76,1,2,2
77,1,7,7
78,1,1,1
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,1,2,2
91,1,2,2
92,1,2,2
93,1,2,2
94,1,2,2
95,1,2,2
96,1,2,2
