frame,face_detected,y_raw,y_smooth
0,1,2,2
1,1,0,2
2,1,2,2
3,1,2,2
4,1,0,2
5,1,0,2
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,2,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,2,0
18,1,2,0
19,1,2,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,2,2
24,1,2,2
25,1,0,0
26,1,2,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,2,0
31,1,2,0
32,1,0,0
33,1,2,0
34,1,7,0
35,1,1,2
36,1,1,2
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,1,2,1
65,1,7,1
66,1,7,1
67,1,7,1
68,1,2,7
69,1,2,2
70,1,7,7
71,1,7,7
72,1,2,7
73,1,2,2
74,1,2,2
75,1,7,2
76,1,2,2
77,1,0,2
78,1,2,2
79,1,2,2
80,1,2,2
81,1,7,2
82,1,7,2
83,1,2,2
84,1,7,2
85,1,0,2
86,1,2,2
87,1,7,7
88,1,0,7
89,1,7,7
90,1,2,7
91,1,7,7
92,1,7,7
