frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.524649,0.52464950,0.03553727,0.12419708,0.02630608,0.00633438,0.03954399,0.01555054,0.22788115
1,1,0,0.552707,0.55270688,0.03217911,0.13370471,0.02416591,0.00589144,0.03664137,0.01379380,0.20091680
2,1,0,0.558799,0.55879864,0.03008205,0.13084929,0.02559708,0.00562638,0.03682139,0.01329600,0.19892918
3,1,0,0.550106,0.55010551,0.02554049,0.17554537,0.02247085,0.00506991,0.03364738,0.01306628,0.17455421
4,1,0,0.544343,0.54434277,0.02217233,0.20689325,0.02058134,0.00476272,0.03073494,0.01402723,0.15648542
5,1,0,0.551184,0.55118386,0.02080354,0.19885466,0.01876991,0.00419365,0.03048758,0.01392247,0.16178434
6,1,0,0.562587,0.56258657,0.01927857,0.17582968,0.01757735,0.00375316,0.02720321,0.01313230,0.18063916
7,1,0,0.538005,0.53800476,0.02305049,0.16229901,0.01573493,0.00329137,0.02782872,0.01188325,0.21790747
8,1,0,0.584511,0.58451108,0.02158396,0.13487169,0.01539546,0.00289026,0.02384755,0.01038190,0.20651811
9,1,0,0.607404,0.60740448,0.01920089,0.12079594,0.01480358,0.00255184,0.02108881,0.00955188,0.20460257
10,1,0,0.640626,0.64062583,0.01760158,0.11428664,0.01657543,0.00260230,0.02011226,0.00975394,0.17844202
11,1,0,0.664034,0.66403386,0.01553721,0.11281257,0.01558845,0.00253165,0.01855590,0.01013270,0.16080766
12,1,0,0.684450,0.68445026,0.01396795,0.11184514,0.01464021,0.00246669,0.01645570,0.00958318,0.14659087
13,1,0,0.700857,0.70085675,0.01310910,0.09928966,0.01480898,0.00231319,0.01588792,0.00896200,0.14477240
14,1,0,0.714694,0.71469450,0.01233053,0.09861076,0.01371187,0.00216906,0.01504185,0.00857967,0.13486177
15,1,0,0.714942,0.71494242,0.01228123,0.08635649,0.01277405,0.00190545,0.01611580,0.00822503,0.14739954
16,1,0,0.702976,0.70297572,0.01226328,0.08753458,0.01247715,0.00182075,0.02288190,0.00840747,0.15163915
17,1,0,0.722071,0.72207134,0.01143041,0.07687575,0.01123069,0.00161885,0.02029796,0.00753145,0.14894356
18,1,0,0.740458,0.74045817,0.01092718,0.07050216,0.01082210,0.00151093,0.01887656,0.00687643,0.14002648
19,1,0,0.757949,0.75794936,0.00986858,0.07105144,0.01062258,0.00150647,0.01692001,0.00735849,0.12472306
20,1,0,0.782292,0.78229183,0.00869015,0.06019961,0.00948676,0.00126966,0.01444375,0.00632885,0.11728939
21,1,0,0.796079,0.79607874,0.00795571,0.05936107,0.00944274,0.00125337,0.01338007,0.00651854,0.10600976
22,1,0,0.800792,0.80079182,0.00742963,0.06597400,0.00845370,0.00116128,0.01242861,0.00677790,0.09698305
23,1,0,0.794158,0.79415797,0.00846897,0.07139415,0.01063367,0.00118843,0.01247584,0.00715005,0.09453091
24,1,0,0.785756,0.78575641,0.00890417,0.07307755,0.01472873,0.00155751,0.01345859,0.00924850,0.09326855
25,1,0,0.671818,0.67181779,0.00813933,0.19744561,0.01318145,0.00189268,0.01286343,0.00902384,0.08563586
26,1,0,0.589865,0.58986467,0.00777326,0.27668643,0.01216089,0.00219902,0.01384822,0.01025890,0.08720861
27,1,0,0.496540,0.49653965,0.00734042,0.37705613,0.01050339,0.00221823,0.01472326,0.01139216,0.08022675
28,1,0,0.455144,0.45514381,0.00712522,0.42808414,0.01010662,0.00262528,0.01581398,0.01128688,0.06981406
29,1,0,0.431797,0.43179719,0.01519797,0.39402105,0.02193612,0.00582880,0.04071812,0.01395723,0.07654352
30,1,0,0.448502,0.44850222,0.01917479,0.35992912,0.02250815,0.00591652,0.04229361,0.01386384,0.08781175
31,1,0,0.491360,0.49135966,0.01929059,0.31281319,0.02211039,0.00545095,0.03692855,0.01238795,0.09965872
32,1,0,0.520642,0.52064195,0.01974294,0.28410757,0.01958184,0.00479672,0.03425343,0.01129195,0.10558361
33,1,0,0.550569,0.55056888,0.01855726,0.24544447,0.01763721,0.00446464,0.02922060,0.01130105,0.12280589
34,1,0,0.584741,0.58474144,0.01711669,0.21850470,0.01729691,0.00442545,0.02549426,0.01193762,0.12048292
35,1,0,0.598770,0.59876954,0.01567627,0.21626707,0.01639272,0.00457439,0.02308111,0.01314775,0.11209115
36,1,0,0.585522,0.58552184,0.01390113,0.24615902,0.01502964,0.00454007,0.02144369,0.01299923,0.10040539
37,1,0,0.603453,0.60345302,0.01321131,0.22959529,0.01504120,0.00458793,0.02037531,0.01456657,0.09916938
38,1,0,0.600906,0.60090630,0.01246264,0.23931140,0.01461141,0.00444116,0.01891863,0.01462063,0.09472782
39,1,0,0.577292,0.57729178,0.01112611,0.27075928,0.01441673,0.00448750,0.01874152,0.01558989,0.08758719
40,1,0,0.593565,0.59356471,0.00956293,0.26889159,0.01316883,0.00409632,0.01631749,0.01611116,0.07828697
41,1,0,0.601583,0.60158317,0.00861772,0.27151264,0.01432866,0.00425941,0.01579883,0.01598380,0.06791576
42,1,0,0.645801,0.64580096,0.00751491,0.24221379,0.01241699,0.00358358,0.01485999,0.01433442,0.05927537
43,1,0,0.657324,0.65732393,0.00724147,0.21767151,0.01126514,0.00315771,0.01553041,0.01498327,0.07282655
44,1,0,0.660881,0.66088124,0.00727547,0.20845368,0.01062558,0.00288181,0.01583200,0.01713024,0.07691999
45,1,0,0.670700,0.67069955,0.00718205,0.19141237,0.01039685,0.00269574,0.01499581,0.01725610,0.08536152
46,1,0,0.684935,0.68493458,0.00846992,0.16291367,0.01014528,0.00236209,0.01483698,0.01507942,0.10125806
47,1,0,0.698479,0.69847878,0.00935302,0.13872217,0.01075082,0.00224150,0.01548414,0.01372921,0.11124034
