frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.524650,0.52464956,0.03553727,0.12419710,0.02630609,0.00633438,0.03954399,0.01555055,0.22788118
1,1,0,0.664936,0.66493630,0.01874647,0.17173520,0.01560519,0.00411968,0.02503087,0.00676680,0.09305932
2,1,0,0.583166,0.58316571,0.02169379,0.11942762,0.03132178,0.00456612,0.03754146,0.01130480,0.19097869
3,1,0,0.515333,0.51533294,0.00737428,0.35432968,0.00996590,0.00284405,0.02095133,0.01214742,0.07705434
4,1,0,0.521292,0.52129179,0.00869966,0.33228478,0.01302330,0.00353397,0.01908518,0.01787101,0.08421025
5,1,0,0.578548,0.57854819,0.01532841,0.16670027,0.01152419,0.00191734,0.02949815,0.01350343,0.18297999
6,1,0,0.608197,0.60819745,0.01317868,0.08372980,0.01280711,0.00199120,0.01406571,0.00997165,0.25605848
7,1,0,0.439678,0.43967754,0.03813817,0.10817631,0.00836527,0.00144419,0.03033079,0.00688706,0.36698070
8,1,0,0.770536,0.77053636,0.01571782,0.02516241,0.01403755,0.00128581,0.00792284,0.00437650,0.16096070
9,1,0,0.698978,0.69897813,0.00966862,0.06449293,0.01243610,0.00119819,0.01005387,0.00623180,0.19694039
10,1,0,0.773511,0.77351129,0.01120435,0.08824945,0.02366281,0.00280411,0.01620606,0.01056219,0.07379985
11,1,0,0.757666,0.75766593,0.00727974,0.10691626,0.01164051,0.00224906,0.01233047,0.01164773,0.09027018
12,1,0,0.766116,0.76611590,0.00769091,0.10797546,0.01084726,0.00220684,0.00805489,0.00738510,0.08972375
13,1,0,0.766483,0.76648277,0.00967369,0.04906771,0.01548406,0.00169919,0.01361680,0.00647727,0.13749853
14,1,0,0.770045,0.77004540,0.00921626,0.09589516,0.00932341,0.00159254,0.01165758,0.00705035,0.09521920
15,1,0,0.715934,0.71593410,0.01208400,0.03733943,0.00902279,0.00085101,0.02041161,0.00680646,0.19755062
16,1,0,0.655109,0.65510899,0.01219149,0.09224693,0.01128954,0.00148195,0.04994631,0.00913725,0.16859759
17,1,0,0.798454,0.79845375,0.00809891,0.03424044,0.00624486,0.00081124,0.00996217,0.00402738,0.13816120
18,1,0,0.814005,0.81400549,0.00891428,0.04500780,0.00918772,0.00107926,0.01319095,0.00425632,0.10435817
19,1,0,0.827914,0.82791412,0.00563420,0.07324857,0.00982450,0.00148863,0.00909385,0.00928674,0.06350936
20,1,0,0.879662,0.87966162,0.00397639,0.01679225,0.00494351,0.00032244,0.00453868,0.00221031,0.08755472
21,1,0,0.851226,0.85122639,0.00501797,0.05600692,0.00926665,0.00118819,0.00912535,0.00727728,0.06089123
22,1,0,0.819644,0.81964409,0.00532532,0.09242573,0.00449756,0.00079295,0.00862279,0.00781532,0.06087619
23,1,0,0.767623,0.76762259,0.01262632,0.09307473,0.01935356,0.00129702,0.01266474,0.00863867,0.08472238
24,1,0,0.752150,0.75215006,0.01064498,0.07981116,0.03110893,0.00303380,0.01738960,0.01764227,0.08821911
25,1,2,0.694918,0.21606338,0.00507998,0.69491786,0.00699235,0.00323336,0.01048278,0.00812523,0.05510511
26,1,2,0.593650,0.26205212,0.00630896,0.59364969,0.00807865,0.00342441,0.01778738,0.01519910,0.09349960
27,1,2,0.778535,0.12323962,0.00560906,0.77853495,0.00387341,0.00229508,0.01822344,0.01592521,0.05229932
28,1,2,0.632196,0.28956044,0.00626445,0.63219613,0.00851953,0.00425346,0.02017686,0.01086579,0.02816327
29,1,0,0.338411,0.33841071,0.04748897,0.25776872,0.06925409,0.01864288,0.14033468,0.02463860,0.10346138
30,1,0,0.515322,0.51532233,0.03508207,0.22356135,0.02479629,0.00626738,0.04859557,0.01349027,0.13288464
31,1,0,0.662789,0.66278934,0.01975375,0.12434945,0.02051936,0.00358866,0.01546829,0.00648439,0.14704663
32,1,0,0.637771,0.63777113,0.02155235,0.16928512,0.00946761,0.00217982,0.02355295,0.00690794,0.12928316
33,1,0,0.670277,0.67027658,0.01381454,0.09079206,0.00985871,0.00313633,0.00908927,0.01133748,0.19169497
34,1,0,0.721432,0.72143173,0.01135443,0.11074563,0.01593571,0.00426871,0.01058893,0.01448387,0.11119109
35,1,0,0.654882,0.65488201,0.00991456,0.20731661,0.01277594,0.00517015,0.01342849,0.01798827,0.07852409
36,1,0,0.532531,0.53253102,0.00680060,0.36572680,0.00957735,0.00440277,0.01489401,0.01240514,0.05366232
37,1,0,0.675178,0.67517775,0.01045202,0.16334036,0.01508743,0.00477936,0.01610177,0.02083594,0.09422536
38,1,0,0.590719,0.59071940,0.00946797,0.27817583,0.01289227,0.00385411,0.01309195,0.01483686,0.07696158
39,1,0,0.482834,0.48283371,0.00577996,0.39655080,0.01363798,0.00467284,0.01803309,0.01946697,0.05902463
40,1,0,0.658656,0.65865642,0.00331020,0.26142082,0.00817724,0.00253163,0.00662135,0.01819623,0.04108611
41,1,0,0.633657,0.63365698,0.00483688,0.28199685,0.01896797,0.00491176,0.01372421,0.01547437,0.02643090
42,1,0,0.822672,0.82267207,0.00310366,0.12501837,0.00477029,0.00088024,0.01110459,0.00773689,0.02471383
43,1,0,0.703416,0.70341581,0.00614772,0.11950240,0.00665774,0.00145424,0.01821213,0.01757868,0.12703127
44,1,0,0.675110,0.67511046,0.00741148,0.17158236,0.00806736,0.00177819,0.01703835,0.02571809,0.09329372
45,1,0,0.709973,0.70997280,0.00680836,0.12324712,0.00948193,0.00195148,0.01165104,0.01775955,0.11912768
46,1,0,0.741875,0.74187458,0.01362141,0.04891883,0.00913902,0.00102747,0.01420165,0.00637270,0.16484417
47,1,0,0.752656,0.75265563,0.01288542,0.04195619,0.01317298,0.00175917,0.01807279,0.00832839,0.15116948
48,1,0,0.808051,0.80805141,0.01453433,0.02212025,0.01260964,0.00092514,0.00962349,0.00408229,0.12805350
49,1,0,0.831565,0.83156508,0.01143154,0.01865571,0.02437943,0.00091963,0.00580676,0.00360365,0.10363819
50,1,0,0.786146,0.78614622,0.01028584,0.07873850,0.01942978,0.00262879,0.02490689,0.01280778,0.06505610
51,1,0,0.633831,0.63383114,0.01136624,0.11584685,0.01221372,0.00173514,0.02062109,0.01077791,0.19360791
52,1,0,0.729713,0.72971338,0.00845004,0.05298172,0.00939496,0.00133793,0.01483258,0.00774127,0.17554811
53,1,0,0.853649,0.85364908,0.00463418,0.03833046,0.01006242,0.00117147,0.00386307,0.00611968,0.08216970
54,1,0,0.861598,0.86159831,0.00496898,0.04586000,0.01573022,0.00130561,0.00690338,0.00723827,0.05639524
55,1,0,0.764811,0.76481140,0.00926747,0.02872742,0.01564164,0.00125557,0.01019375,0.00706008,0.16304271
56,1,0,0.812333,0.81233311,0.01068220,0.05949723,0.01503320,0.00187559,0.01307263,0.00641145,0.08109479
57,1,0,0.818323,0.81832302,0.00983070,0.04320818,0.02720448,0.00273513,0.00963832,0.00611939,0.08294076
58,1,0,0.693771,0.69377100,0.01818469,0.01618939,0.06640092,0.00405599,0.01467010,0.00848806,0.17823985
59,1,0,0.780806,0.78080577,0.01911383,0.04115970,0.02825397,0.00264110,0.01354123,0.00631028,0.10817406
60,1,0,0.633296,0.63329595,0.02156076,0.05304671,0.01858455,0.00223129,0.01659724,0.00580133,0.24888210
61,1,0,0.805485,0.80548489,0.00874094,0.04608868,0.02076512,0.00226554,0.00711503,0.00694017,0.10259976
62,1,0,0.805706,0.80570644,0.00596028,0.06852385,0.01309155,0.00221084,0.01068894,0.01034821,0.08346982
63,1,0,0.815781,0.81578058,0.00880051,0.04255635,0.01197421,0.00096932,0.00968814,0.00426806,0.10596288
64,1,0,0.821834,0.82183427,0.00442931,0.08310792,0.01487393,0.00273069,0.00726427,0.00893796,0.05682157
