frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.599931,0.59993108,0.00788399,0.23007392,0.02916129,0.00650529,0.05369873,0.03759794,0.03514775
1,1,0,0.558826,0.55882640,0.00698359,0.28077837,0.02784107,0.00597635,0.05490329,0.03372335,0.03096758
2,1,0,0.593223,0.59322267,0.00615429,0.26778009,0.02579191,0.00550380,0.04622030,0.02853392,0.02679301
3,1,0,0.649151,0.64915070,0.00631492,0.22595133,0.02277081,0.00463559,0.03858403,0.02461052,0.02798211
4,1,0,0.677882,0.67788245,0.00671579,0.20601394,0.02254467,0.00423750,0.03407679,0.02132561,0.02720325
5,1,0,0.666446,0.66644642,0.01092974,0.20128835,0.02722296,0.00455492,0.04515887,0.01894661,0.02545213
6,1,0,0.661076,0.66107582,0.01139923,0.17766950,0.06171086,0.00469765,0.04426075,0.01609996,0.02308622
7,1,0,0.582293,0.58229305,0.01046330,0.26928622,0.05351341,0.00521445,0.04452139,0.01437229,0.02033590
8,1,0,0.501075,0.50107479,0.01030897,0.33398351,0.04960738,0.00557125,0.06842889,0.01297474,0.01805046
9,1,0,0.441606,0.44160613,0.00956978,0.39970362,0.04459564,0.00609617,0.07066617,0.01201021,0.01575229
10,1,0,0.425246,0.42524630,0.00869421,0.42234153,0.04257045,0.00643094,0.06856401,0.01224974,0.01390281
11,1,0,0.488423,0.36633213,0.00949101,0.48842276,0.03695699,0.00641338,0.06831785,0.01105673,0.01300916
12,1,2,0.542372,0.30696634,0.01018657,0.54237221,0.03294033,0.00710520,0.07687605,0.01042371,0.01312958
13,1,2,0.570355,0.27865735,0.01040770,0.57035509,0.03109735,0.00671663,0.08051706,0.00987804,0.01237079
14,1,2,0.626038,0.23821506,0.00963150,0.62603754,0.02675698,0.00637590,0.07294716,0.00863704,0.01139883
15,1,2,0.607276,0.25366208,0.00960102,0.60727569,0.03296935,0.00628636,0.07168231,0.00805223,0.01047096
16,1,2,0.628945,0.24435559,0.00846917,0.62894495,0.02906220,0.00613419,0.06561809,0.00785034,0.00956547
17,1,2,0.671944,0.21769835,0.00787420,0.67194438,0.02497915,0.00546627,0.05672353,0.00665436,0.00865975
18,1,2,0.695050,0.20131489,0.00735341,0.69505042,0.02342965,0.00584674,0.05273874,0.00614184,0.00812431
19,1,2,0.689936,0.19901587,0.00679298,0.68993622,0.02362675,0.00596569,0.06143449,0.00605202,0.00717598
20,1,2,0.662522,0.22514014,0.00635389,0.66252152,0.02746935,0.00642146,0.05929933,0.00601779,0.00677652
21,1,2,0.633628,0.25656916,0.00610462,0.63362826,0.02662340,0.00620799,0.05887190,0.00578702,0.00620764
