frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
0,1,0,0.599931,0.59993106,0.00788399,0.23007391,0.02916129,0.00650529,0.05369873,0.03759794,0.03514775
1,1,0,0.483596,0.39440775,0.00338199,0.48359618,0.02256018,0.00386059,0.05972156,0.01822497,0.01424689
2,1,0,0.730808,0.73080778,0.00283707,0.21578701,0.01759526,0.00361362,0.01148834,0.00777623,0.01009474
3,1,0,0.872863,0.87286294,0.00695746,0.05863629,0.01068640,0.00116272,0.00803895,0.00891690,0.03273850
4,1,0,0.792809,0.79280943,0.00831929,0.12626438,0.02164011,0.00264514,0.01604784,0.00818596,0.02408779
5,1,0,0.620702,0.62070221,0.02778552,0.18238598,0.04593615,0.00582459,0.08948717,0.00943063,0.01844765
6,1,0,0.639593,0.63959348,0.01327721,0.08319414,0.19966245,0.00526860,0.04066827,0.00471336,0.01362259
7,1,0,0.635753,0.26716202,0.00671955,0.63575310,0.02072362,0.00728162,0.04556397,0.00746161,0.00933464
8,1,2,0.592773,0.17620176,0.00969167,0.59277272,0.03398324,0.00699849,0.16405889,0.00738455,0.00890871
9,1,2,0.662584,0.20373149,0.00661300,0.66258407,0.02454868,0.00819585,0.07961529,0.00815209,0.00655959
10,1,2,0.512893,0.35980707,0.00519194,0.51289326,0.03446971,0.00777000,0.06015539,0.01320788,0.00650489
11,1,2,0.752748,0.13067542,0.01267819,0.75274771,0.01450314,0.00634315,0.06733323,0.00628466,0.00943455
12,1,2,0.758170,0.06950318,0.01296882,0.75817001,0.01687370,0.00987250,0.11110884,0.00789166,0.01361127
13,1,2,0.682287,0.16542140,0.01129220,0.68228668,0.02372542,0.00516232,0.09508111,0.00769533,0.00933562
14,1,2,0.848767,0.07644592,0.00652669,0.84876734,0.00939551,0.00501298,0.04266753,0.00367305,0.00751100
15,1,2,0.532228,0.31545013,0.00947913,0.53222829,0.05781883,0.00592819,0.06662294,0.00571298,0.00675948
16,1,2,0.715622,0.20712963,0.00394175,0.71562189,0.01343359,0.00552551,0.04136120,0.00704281,0.00594351
17,1,2,0.843942,0.11106937,0.00549434,0.84394211,0.00864696,0.00279460,0.02114525,0.00187044,0.00503689
18,1,2,0.787475,0.13578101,0.00527025,0.78747451,0.01723165,0.00736862,0.03679957,0.00409176,0.00598254
19,1,2,0.669479,0.18981983,0.00455125,0.66947943,0.02441514,0.00644148,0.09621753,0.00569273,0.00338265
20,1,2,0.552863,0.32963723,0.00459755,0.55286276,0.04283974,0.00824455,0.05075868,0.00588085,0.00517867
21,1,2,0.518055,0.38228524,0.00510754,0.51805520,0.02323960,0.00535412,0.05716217,0.00486396,0.00393212
22,1,2,0.654320,0.65431970,0.00684775,0.22418018,0.02303995,0.00233711,0.07738236,0.00450050,0.00739255
23,1,0,0.532603,0.53260314,0.00960406,0.26010075,0.02388201,0.00399819,0.14537460,0.01347536,0.01096190
24,1,0,0.576494,0.57649422,0.01364773,0.19013463,0.05600251,0.00887726,0.11027928,0.02796688,0.01659745
25,1,0,0.504441,0.35158679,0.00607981,0.50444090,0.03793266,0.01254926,0.06407826,0.01539907,0.00793327
26,1,0,0.449731,0.44973063,0.01425811,0.36210293,0.02990086,0.01182010,0.11060638,0.00888549,0.01269557
27,1,0,0.618160,0.61815995,0.00904059,0.21859179,0.03063584,0.00887201,0.08203145,0.01961188,0.01305655
28,1,0,0.437421,0.20743245,0.00801023,0.43742070,0.02147164,0.01201671,0.27811253,0.02289888,0.01263692
29,1,0,0.319416,0.31941622,0.01017321,0.29832971,0.03987383,0.01884486,0.23471332,0.05921869,0.01943014
30,1,2,0.447672,0.28324947,0.00759323,0.44767171,0.01958392,0.01073004,0.18681581,0.03118317,0.01317262
31,1,0,0.701493,0.70149267,0.01042325,0.14709646,0.04502653,0.01095404,0.04428905,0.02161593,0.01910209
32,1,0,0.630507,0.63050658,0.00882410,0.22241814,0.02197068,0.00731096,0.05905054,0.03209445,0.01782458
33,1,0,0.612179,0.61217850,0.00675138,0.20872581,0.01744576,0.00926724,0.08372315,0.04287627,0.01903190
34,1,0,0.554396,0.37586528,0.00461735,0.55439639,0.00935326,0.00622908,0.03450796,0.00746718,0.00756347
35,1,2,0.772554,0.17046744,0.00179028,0.77255362,0.00416521,0.00192689,0.04410865,0.00336745,0.00162045
36,1,2,0.952850,0.01978378,0.00054254,0.95284986,0.00102236,0.00216929,0.01908722,0.00326244,0.00128244
37,1,2,0.840309,0.09141527,0.00397898,0.84030855,0.00654108,0.00455480,0.03867614,0.01067720,0.00384796
38,1,2,0.840635,0.08917025,0.00363462,0.84063524,0.00610745,0.00378231,0.04261965,0.00969517,0.00435525
39,1,2,0.708663,0.08377076,0.00645277,0.70866269,0.00441546,0.00216109,0.18274446,0.00628272,0.00551019
40,1,2,0.826986,0.13324571,0.00206194,0.82698643,0.00204983,0.00159854,0.02519183,0.00336329,0.00550239
41,1,2,0.637910,0.63791013,0.00669151,0.29983529,0.00784323,0.00233768,0.02996759,0.00408688,0.01132768
42,1,0,0.655770,0.65576994,0.01179562,0.13728985,0.04214914,0.00661801,0.09959491,0.01784242,0.02893993
43,1,0,0.827359,0.82735872,0.00958730,0.05329439,0.04633944,0.00795941,0.01613502,0.00393499,0.03539067
44,1,0,0.626324,0.62632418,0.01318625,0.09653381,0.12491830,0.02816207,0.04075983,0.01816693,0.05194868
45,1,0,0.761978,0.76197773,0.01394106,0.01558363,0.12292612,0.00835214,0.01781522,0.00582106,0.05358304
46,1,0,0.867102,0.86710179,0.00925265,0.02490410,0.04728438,0.00426916,0.01396270,0.00565165,0.02757359
47,1,0,0.715612,0.71561158,0.01874841,0.01333895,0.17040795,0.00828014,0.01489909,0.00494488,0.05376913
48,1,0,0.854429,0.85442936,0.00913113,0.01515224,0.06545477,0.00553409,0.01074654,0.00576479,0.03378708
49,1,0,0.737634,0.73763412,0.01319324,0.01316852,0.17660919,0.00663084,0.01170724,0.00450331,0.03655364
50,1,0,0.680315,0.68031532,0.00964228,0.02011778,0.20409590,0.01617178,0.01373693,0.00585656,0.05006343
51,1,0,0.691678,0.69167775,0.01215369,0.01835056,0.19274151,0.01369013,0.01385279,0.00640056,0.05113305
52,1,0,0.801966,0.80196643,0.00973504,0.02508635,0.10675418,0.00713452,0.02295231,0.00576850,0.02060281
53,1,0,0.609364,0.60936445,0.01153713,0.04495092,0.22725096,0.02234494,0.04416178,0.00913489,0.03125489
54,1,0,0.756483,0.75648314,0.00540496,0.06017267,0.11154733,0.01332241,0.02911413,0.01004431,0.01391111
55,1,0,0.790086,0.79008597,0.01281187,0.03718266,0.08376957,0.01257125,0.02716110,0.00647443,0.02994313
56,1,0,0.586004,0.58600378,0.01536665,0.03208684,0.26547840,0.02633222,0.04492213,0.00860372,0.02120625
57,1,0,0.556985,0.55698454,0.02172068,0.01426280,0.32511303,0.01282863,0.03225156,0.00736898,0.02946975
58,1,0,0.706370,0.70637035,0.02583864,0.04267208,0.11921883,0.01097034,0.05217729,0.00960277,0.03314970
59,1,0,0.537392,0.53739214,0.02419314,0.01823674,0.34119761,0.01495657,0.02680444,0.00470473,0.03251461
60,1,0,0.522363,0.52236289,0.02052560,0.02043787,0.33286053,0.01851056,0.01554757,0.00654844,0.06320661
61,1,0,0.565809,0.56580865,0.02109219,0.02902980,0.26349467,0.03270660,0.02431257,0.00893909,0.05461646
62,1,0,0.711302,0.71130246,0.01389791,0.03765080,0.12899485,0.01867598,0.02052486,0.01239614,0.05655709
63,1,0,0.704135,0.70413500,0.02524941,0.01811656,0.12137669,0.01234506,0.02287791,0.00850641,0.08739293
64,1,0,0.824896,0.82489556,0.00763767,0.02115844,0.07365653,0.00889390,0.01047501,0.01166039,0.04162259
65,1,0,0.895732,0.89573246,0.00625683,0.01513169,0.03240598,0.00549897,0.00669547,0.00607699,0.03220158
66,1,0,0.830740,0.83074039,0.00714949,0.01609817,0.04442285,0.00697509,0.00682928,0.00861338,0.07917134
67,1,0,0.894027,0.89402711,0.00520818,0.01781033,0.02214496,0.00455373,0.00631832,0.00862581,0.04131171
68,1,0,0.860163,0.86016297,0.00948508,0.02098640,0.03062877,0.00598116,0.00744157,0.00689051,0.05842349
69,1,0,0.880490,0.88049030,0.00608697,0.02084410,0.01612149,0.00456820,0.00558442,0.00956210,0.05674234
70,1,0,0.920434,0.92043430,0.00334597,0.01357753,0.01259946,0.00328645,0.00251178,0.00396050,0.04028403
71,1,0,0.873572,0.87357229,0.00902341,0.02011240,0.01976199,0.00404995,0.00469505,0.00588775,0.06289721
72,1,0,0.767056,0.76705647,0.00929275,0.03374363,0.08347540,0.01246762,0.00923433,0.01316965,0.07156018
73,1,0,0.839677,0.83967698,0.00834532,0.01290615,0.03511317,0.00408343,0.00382918,0.00450639,0.09153942
74,1,0,0.904592,0.90459239,0.00163596,0.06518555,0.00277814,0.00090471,0.00229712,0.00362915,0.01897698
75,1,0,0.793389,0.15213051,0.00260836,0.79338920,0.00424630,0.00301103,0.01977301,0.01350965,0.01133198
76,1,2,0.544348,0.39550295,0.00620007,0.54434752,0.00842351,0.00360935,0.01330746,0.01138525,0.01722390
77,1,2,0.565605,0.32666978,0.01526950,0.56560475,0.00849079,0.00329848,0.02301750,0.01268779,0.04496139
78,1,2,0.763331,0.76333082,0.00872170,0.16532949,0.00615514,0.00172344,0.00680847,0.00439748,0.04353337
79,1,0,0.797591,0.79759079,0.00871196,0.03630516,0.00849331,0.00133277,0.00358139,0.00344734,0.14053735
80,1,0,0.817720,0.81771988,0.00927097,0.03640692,0.01490530,0.00373415,0.00682744,0.00723915,0.10389600
81,1,0,0.769594,0.76959443,0.01389677,0.01265585,0.04075662,0.00346561,0.00531198,0.00513470,0.14918408
82,1,0,0.754996,0.75499612,0.01832974,0.01073012,0.04225918,0.00321642,0.00375168,0.00220720,0.16450953
83,1,0,0.668637,0.66863668,0.01722573,0.03270462,0.15384732,0.02664693,0.01464454,0.01268724,0.07360696
84,1,0,0.775859,0.77585906,0.01026211,0.02752881,0.04863759,0.00686984,0.01014941,0.00828979,0.11240342
85,1,0,0.874940,0.87493998,0.01409975,0.00878724,0.05020850,0.00200221,0.00623287,0.00217957,0.04154992
86,1,0,0.546430,0.54643005,0.03892516,0.25530240,0.02458241,0.00570633,0.08992051,0.00641823,0.03271483
87,1,0,0.489826,0.20921350,0.10530818,0.48982605,0.01307069,0.00516620,0.06190006,0.00984119,0.10567416
88,1,2,0.836370,0.06693708,0.01819696,0.83636975,0.00506873,0.00421502,0.04539647,0.00299748,0.02081849
89,1,2,0.624135,0.15027697,0.06395001,0.62413514,0.01639038,0.00797389,0.07296837,0.00568090,0.05862434
90,1,2,0.474000,0.47399950,0.01735363,0.42374039,0.01586898,0.00452025,0.01944841,0.00615367,0.03891515
91,1,0,0.664008,0.66400808,0.01987365,0.21116132,0.01279798,0.00215215,0.01036233,0.00478209,0.07486243
92,1,0,0.937063,0.93706316,0.00270582,0.03773079,0.00771165,0.00054392,0.00131912,0.00122557,0.01169994
93,1,0,0.785487,0.78548735,0.04620102,0.03716637,0.08623444,0.00247276,0.00694389,0.00266344,0.03283079
94,1,0,0.889560,0.88955975,0.00919244,0.06982833,0.01029723,0.00112694,0.00411420,0.00207693,0.01380416
95,1,0,0.435250,0.43525031,0.08563907,0.26023629,0.03308270,0.00630360,0.04974551,0.00534187,0.12440065
96,1,0,0.647029,0.64702863,0.01655396,0.26064116,0.01377186,0.00424726,0.02072700,0.00517403,0.03185616
97,1,0,0.817865,0.81786460,0.00714882,0.11018751,0.00781053,0.00182867,0.00769137,0.00963052,0.03783816
98,1,0,0.831251,0.83125103,0.00590180,0.09657447,0.03152796,0.00390091,0.00868252,0.00545191,0.01670945
99,1,0,0.823132,0.82313192,0.01274991,0.06333924,0.04413379,0.00350731,0.02262370,0.00558503,0.02492920
100,1,0,0.833586,0.83358598,0.00554215,0.11745273,0.01691338,0.00256167,0.00463668,0.00628539,0.01302200
101,1,0,0.761484,0.76148379,0.00985054,0.15839423,0.03353836,0.00467098,0.01326248,0.00607509,0.01272461
102,1,0,0.809252,0.80925226,0.00476367,0.14320759,0.01117064,0.00360054,0.00595958,0.00780792,0.01423779
103,1,0,0.818311,0.81831139,0.00567739,0.12701675,0.01330725,0.00345365,0.00801822,0.00864301,0.01557224
104,1,0,0.833627,0.83362705,0.00337107,0.12071212,0.01223598,0.00317022,0.00533116,0.00911187,0.01244061
105,1,0,0.901822,0.90182173,0.00689748,0.04212520,0.00872167,0.00121791,0.00757883,0.00970593,0.02193119
106,1,0,0.819645,0.81964505,0.00612366,0.09607621,0.03679786,0.00481737,0.00734024,0.01107827,0.01812138
107,1,0,0.906896,0.90689605,0.00501075,0.05446194,0.00846305,0.00125932,0.00446943,0.00498647,0.01445295
108,1,0,0.836673,0.83667332,0.00569199,0.11142788,0.01151444,0.00273908,0.00824035,0.00677661,0.01693640
109,1,0,0.857466,0.85746616,0.00409235,0.10656928,0.00642367,0.00135574,0.00725965,0.00642180,0.01041131
110,1,0,0.907252,0.90725189,0.00581033,0.04577969,0.00915377,0.00142740,0.00439001,0.00667150,0.01951547
111,1,0,0.896384,0.89638418,0.00687863,0.05344985,0.01339146,0.00148526,0.00554492,0.00642578,0.01643987
112,1,0,0.698781,0.69878095,0.00546035,0.18144262,0.03858075,0.01409738,0.03219285,0.01771223,0.01173289
113,1,0,0.883099,0.88309932,0.00567090,0.05353569,0.01799403,0.00361435,0.00762983,0.00970002,0.01875597
114,1,0,0.938351,0.93835127,0.00422743,0.01990770,0.01744405,0.00141292,0.00601513,0.00348017,0.00916139
115,1,0,0.819451,0.81945103,0.00880451,0.09756707,0.02716349,0.00264857,0.01871468,0.00986049,0.01579012
116,1,0,0.845768,0.84576833,0.01691593,0.02095439,0.05825827,0.00277106,0.02089502,0.00964907,0.02478781
117,1,0,0.853591,0.85359073,0.01151704,0.02532427,0.07991498,0.00274068,0.00758154,0.00433838,0.01499247
118,1,0,0.876294,0.87629396,0.00511803,0.02808947,0.06919733,0.00302039,0.00497175,0.00477118,0.00853771
119,1,0,0.798672,0.79867226,0.00828107,0.09508733,0.05660223,0.00479627,0.01661927,0.00467611,0.01526555
120,1,0,0.516676,0.51667613,0.00954840,0.32854557,0.06542549,0.01407294,0.03439184,0.01182314,0.01951653
121,1,0,0.814035,0.81403524,0.00606154,0.10875133,0.04317384,0.00517663,0.00598709,0.00463332,0.01218100
122,1,0,0.893331,0.89333093,0.00184734,0.07440013,0.00629440,0.00166247,0.00297235,0.00657422,0.01291813
123,1,0,0.905662,0.90566158,0.00238954,0.04680000,0.00556982,0.00107237,0.00230661,0.00635106,0.02984891
124,1,0,0.886129,0.88612926,0.00922411,0.03106971,0.02665783,0.00204112,0.00394310,0.00434185,0.03659306
125,1,0,0.879266,0.87926561,0.00412035,0.05425806,0.00795786,0.00122622,0.00570310,0.00605857,0.04141018
126,1,0,0.861904,0.86190373,0.00736762,0.04550638,0.01925442,0.00243780,0.00688849,0.00464590,0.05199574
127,1,0,0.783619,0.78361857,0.00405768,0.14596087,0.01406575,0.00336712,0.00562807,0.00864213,0.03465978
128,1,0,0.884835,0.88483489,0.00510496,0.03194508,0.01779050,0.00167694,0.00537243,0.00563530,0.04764002
129,1,0,0.800513,0.80051285,0.00529301,0.12242981,0.01172713,0.00319074,0.00713221,0.00696330,0.04275089
130,1,0,0.626336,0.27260014,0.00434398,0.62633586,0.00476713,0.00321967,0.02663525,0.01652150,0.04557640
131,1,2,0.440544,0.36803657,0.01006796,0.44054437,0.00431811,0.00197159,0.01902907,0.01569670,0.14033563
132,1,2,0.452169,0.09152442,0.00593516,0.45216945,0.00197079,0.00304788,0.34268770,0.06904536,0.03361913
133,1,2,0.575425,0.26592448,0.00724872,0.57542491,0.00502536,0.00414400,0.05069315,0.02431995,0.06721949
134,1,2,0.359368,0.30685931,0.01160594,0.35936752,0.02348974,0.01060279,0.16043936,0.06364863,0.06398680
135,1,2,0.840170,0.01935719,0.00286144,0.84017015,0.00105993,0.00324488,0.08793621,0.03116670,0.01420356
136,1,2,0.516046,0.51604635,0.01078210,0.16991894,0.09698918,0.01608560,0.14567156,0.02786325,0.01664295
137,1,2,0.638412,0.07508617,0.01195584,0.15946053,0.06055621,0.01351294,0.63841188,0.03506648,0.00594990
138,1,5,0.550825,0.15642878,0.01547724,0.08565948,0.12536089,0.01509857,0.55082548,0.04579956,0.00534994
139,1,5,0.358682,0.32577786,0.01330480,0.09396052,0.09278795,0.03193799,0.35868222,0.06233829,0.02121041
140,1,5,0.547996,0.54799640,0.00694548,0.28987136,0.02069226,0.01340091,0.07063023,0.02498637,0.02547692
